Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
22,123,12,78.03,255,47.84,1,4,122,5.54,0,0,1,0.04,11,9.09,prapanjan,bw,2018
,,,,,,,,,,,,,,,,,,
22,124,11,77.45,306,40.19,2,3,123,5.59,0,0,1,0.04,17,5.88,prapanjan,bw,2017
,,,,,,,,,,,,,,,,,,
11,12,3,69.04,42,28.57,0,0,12,1.09,0,0,0,0,1,0,prapanjan,bw,2015
,,,,,,,,,,,,,,,,,,
4,2,1,16.66,6,33.33,0,0,2,0.5,0,0,0,0,2,0,prapanjan,bw,2014
,,,,,,,,,,,,,,,,,,
4,7,3,71.42,14,35.71,0,0,5,1.25,0,0,2,0.5,5,40,prapanjan,bw,2013
,,,,,,,,,,,,,,,,,,
22,206,17,79.52,376,54.78,6,9,206,9.36,0,0,0,0,5,0,maninder,bw,2018
,,,,,,,,,,,,,,,,,,
21,192,17,82.01,367,51.77,6,9,190,9.04,0,0,2,0.09,13,15.38,maninder,bw,2017
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,maninder,bw,2014
,,,,,,,,,,,,,,,,,,
16,137,13,76,175,74.28,3,5,130,8.12,1,0,7,0.37,19,36.84,maninder,bw,2013
,,,,,,,,,,,,,,,,,,
6,10,3,58.82,17,52.94,1,0,9,1.5,0,0,1,0.16,3,33.33,rakeshn,bw,2018
,,,,,,,,,,,,,,,,,,
6,18,6,85.71,56,30.35,1,0,17,2.83,0,0,1,0.16,3,33.33,rakeshn,bw,2017
,,,,,,,,,,,,,,,,,,
1,0,0,75,4,0,0,0,0,0,0,0,0,0,1,0,rakeshn,bw,2015
,,,,,,,,,,,,,,,,,,
11,21,5,77.08,48,43.75,2,0,21,1.9,0,0,0,0,6,0,rakeshn,bw,2014
,,,,,,,,,,,,,,,,,,
12,42,8,78.02,91,40.65,2,0,37,3.08,0,0,5,0.41,18,27.77,ravindrak,bw,2018
,,,,,,,,,,,,,,,,,,
2,2,2,57.14,7,28.57,0,0,2,1,0,0,0,0,1,0,ravindrak,bw,2017
,,,,,,,,,,,,,,,,,,
2,3,2,62.5,8,25,0,0,2,1,0,0,1,0.5,1,100,ravindrak,bw,2016
,,,,,,,,,,,,,,,,,,
17,71,9,82.38,176,38.63,3,0,68,4,1,0,3,0.11,19,15.78,sukeshh,bw,2018
,,,,,,,,,,,,,,,,,,
18,77,15,87.65,235,31.91,2,1,75,4.16,0,0,2,0.11,13,15.38,sukeshh,bw,2017
,,,,,,,,,,,,,,,,,,
9,7,3,78.94,38,18.42,0,0,7,0.77,0,0,0,0,7,0,sukeshh,bw,2016
,,,,,,,,,,,,,,,,,,
13,64,9,80.13,146,41.78,0,0,61,4.69,1,0,3,0.15,16,18.75,sukeshh,bw,2015
,,,,,,,,,,,,,,,,,,
13,64,9,83.45,133,46.61,5,0,62,4.76,0,0,2,0.15,13,15.38,sukeshh,bw,2014
,,,,,,,,,,,,,,,,,,
14,83,9,81.53,130,60.76,3,0,79,5.64,0,0,4,0.28,21,19.04,sukeshh,bw,2013
,,,,,,,,,,,,,,,,,,
18,28,5,0,1,100,0,0,1,0.05,3,1,27,1.33,70,38.57,Baldev,bw,2018
,,,,,,,,,,,,,,,,,,
19,40,5,100,1,0,0,0,0,0,4,1,40,1.89,90,44.44,jeevak,bw,2018
,,,,,,,,,,,,,,,,,,
22,44,5,100,2,0,0,0,0,0,7,1,44,1.68,104,42.3,jeevak,bw,2017
,,,,,,,,,,,,,,,,,,
14,26,4,0,0,0,0,0,0,0,2,0,26,1.71,62,41.93,jeevak,bw,2016
,,,,,,,,,,,,,,,,,,
16,31,4,0,0,0,0,0,0,0,1,0,31,1.87,62,50,jeevak,bw,2015
,,,,,,,,,,,,,,,,,,
13,39,9,100,1,100,0,0,1,0.07,7,3,38,2.38,58,65.51,jeevak,bw,2014
,,,,,,,,,,,,,,,,,,
9,16,4,0,0,0,0,0,0,0,0,0,16,1.77,31,51.61,jeevak,bw,2013
,,,,,,,,,,,,,,,,,,
7,6,2,0,0,0,0,0,0,0,0,0,6,0.85,29,20.68,viraj,bw,2018
,,,,,,,,,,,,,,,,,,
19,16,2,0,0,0,0,0,0,0,0,0,16,0.84,52,30.76,viraj,bw,2017
,,,,,,,,,,,,,,,,,,
10,14,4,100,1,200,0,0,2,0.2,3,0,12,0.9,23,52.17,adarsh,bw,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dharmendra,bw,2018
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dharmendra,bw,2017
,,,,,,,,,,,,,,,,,,
15,21,5,71.42,7,14.28,0,0,1,0.06,1,0,20,1.26,51,39.21,rinku,bw,2018
,,,,,,,,,,,,,,,,,,
13,22,7,100,8,12.5,0,0,1,0.07,4,1,21,1.3,34,61.76,rinku,bw,2017
,,,,,,,,,,,,,,,,,,
18,23,3,77.77,36,11.11,0,0,4,0.22,0,0,19,1.05,65,29.23,Mayur,bw,2018
,,,,,,,,,,,,,,,,,,
5,6,3,56,25,20,0,0,5,1,0,0,1,0.2,2,50,Mayur,bw,2017
24,171,16,81.23,341,47.5,5,5,162,6.75,0,1,9,0.37,30,30,rohitkumar,bb,2018
,,,,,,,,,,,,,,,,,,
22,231,32,80.38,418,52.39,1,12,219,9.95,1,0,12,0.5,27,44.44,rohitkumar,bb,2017
,,,,,,,,,,,,,,,,,,
14,100,11,77.77,234,39.74,3,1,93,6.64,1,0,7,0.42,16,43.75,rohitkumar,bb,2016
,,,,,,,,,,,,,,,,,,
12,109,16,84.26,178,57.3,4,5,102,8.5,0,0,7,0.58,14,50,rohitkumar,bb,2015
,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lalmohar,bb,2018
,,,,,,,,,,,,,,,,,,
24,282,22,77.33,375,72.26,12,13,271,11.29,0,0,11,0.45,40,27.5,pawans,bb,2018
,,,,,,,,,,,,,,,,,,
9,10,4,45.83,24,37.5,0,0,9,1,0,0,1,0.11,2,50,pawans,bb,2017
,,,,,,,,,,,,,,,,,,
10,11,4,48.48,33,33.33,0,0,11,1.1,0,0,0,0,1,0,pawans,bb,2016
,,,,,,,,,,,,,,,,,,
13,53,7,64.54,110,40.9,1,0,45,3.46,2,0,8,0.46,17,47.05,pawans,bb,2015
,,,,,,,,,,,,,,,,,,
