,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
684,4.0,15.0,13.0,65.21,23.0,56.52,1.0,1.0,13.0,3.25,1.0,0.0,2.0,0.25,1.0,200.0,armaan,telugu,2018.0,1.0,100.0,12.999600000000001,10,1
259,3.0,7.0,5.0,42.85,7.0,42.85,0.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,4.0,100.0,lalitchau,gf,2018.0,3.0,75.0,2.9995,43,2
392,6.0,4.0,2.0,54.54,11.0,18.18,0.0,0.0,2.0,0.33,0.0,0.0,2.0,0.33,3.0,66.66,lokesh,jaipur,2018.0,2.0,66.66666666666666,1.9997999999999998,71,3
690,23.0,83.0,7.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,83.0,3.47,130.0,63.84,fazel,mumba,2018.0,80.0,61.53846153846154,0.0,94,4
764,25.0,101.0,8.0,85.71,7.0,14.28,0.0,0.0,1.0,0.04,8.0,8.0,100.0,3.68,154.0,64.93,niteshk,UP,2018.0,92.0,59.74025974025974,0.9995999999999999,75,5
269,25.0,86.0,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,86.0,3.28,138.0,62.31,parvesh,gf,2018.0,82.0,59.42028985507246,0.0,107,6
287,17.0,51.0,7.0,83.82,68.0,32.35,0.0,0.0,22.0,1.29,4.0,2.0,29.0,1.47,43.0,67.44,vinodkgf,gf,2018.0,25.0,58.139534883720934,21.998,62,7
265,23.0,204.0,12.0,78.14,366.0,51.91,1.0,7.0,190.0,8.26,2.0,0.0,14.0,0.52,22.0,63.63,sachintan,gf,2018.0,12.0,54.54545454545454,189.99059999999997,22,8
678,17.0,60.0,9.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,60.0,3.0,95.0,63.15,bharad,telugu,2018.0,51.0,53.68421052631579,0.0,92,9
291,22.0,40.0,6.0,95.45,22.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,40.0,1.68,69.0,57.97,dharmarajc,hs,2018.0,37.0,53.62318840579711,0.0,98,10
402,18.0,51.0,8.0,0.0,2.0,100.0,0.0,0.0,2.0,0.11,4.0,4.0,49.0,2.5,85.0,57.64,amitjaipur,jaipur,2018.0,45.0,52.94117647058824,2.0,2,11
277,25.0,76.0,8.0,96.66,30.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,76.0,2.88,140.0,54.28,sunilkumargf,gf,2018.0,72.0,51.42857142857142,0.0,102,12
119,24.0,63.0,6.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,63.0,2.58,122.0,51.63,mahenders,bb,2018.0,62.0,50.81967213114754,0.0,116,13
131,15.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,2.4,71.0,53.52,amitsheoran,bb,2018.0,36.0,50.70422535211267,0.0,124,14
648,21.0,56.0,6.0,100.0,26.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,56.0,2.28,98.0,57.14,aboz,telugu,2018.0,48.0,48.97959183673469,0.0,82,15
412,22.0,67.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,67.0,2.81,128.0,52.34,sandeepdhull,jaipur,2018.0,62.0,48.4375,0.0,113,16
810,19.0,56.0,7.0,77.67,112.0,25.89,0.0,0.0,29.0,1.52,2.0,0.0,27.0,1.31,52.0,51.92,mohsenm,UP,2018.0,25.0,48.07692307692308,28.996800000000004,68,17
736,8.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.25,21.0,47.61,rajaguru,mumba,2018.0,10.0,47.61904761904761,0.0,91,18
261,22.0,91.0,13.0,71.51,172.0,45.93,1.0,2.0,79.0,3.59,2.0,0.0,12.0,0.45,21.0,57.14,moregb,gf,2018.0,10.0,47.61904761904761,78.9996,36,19
634,22.0,71.0,7.0,83.33,72.0,40.27,1.0,0.0,29.0,1.31,1.0,0.0,42.0,1.86,88.0,47.72,ransingh,tn,2018.0,41.0,46.590909090909086,28.9944,49,20
748,22.0,62.0,7.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,62.0,2.68,127.0,48.81,surinder,mumba,2018.0,59.0,46.45669291338583,0.0,87,21
544,20.0,57.0,6.0,87.5,8.0,12.5,0.0,0.0,1.0,0.05,4.0,4.0,56.0,2.6,113.0,49.55,grishmaru,pune,2018.0,52.0,46.017699115044245,1.0,76,22
422,9.0,31.0,11.0,78.94,57.0,43.85,1.0,0.0,25.0,2.77,1.0,0.0,6.0,0.55,11.0,54.54,nitinraw,jaipur,2018.0,5.0,45.45454545454545,24.994500000000002,40,23
195,22.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,59.0,2.54,125.0,47.2,ravinderpahal,dabang,2018.0,56.0,44.800000000000004,0.0,114,24
622,19.0,67.0,8.0,79.31,29.0,27.58,0.0,0.0,8.0,0.42,5.0,2.0,59.0,2.84,121.0,48.76,manjeetchhil,tn,2018.0,54.0,44.62809917355372,7.9982,65,25
382,17.0,74.0,13.0,75.0,140.0,50.0,1.0,3.0,70.0,4.11,0.0,0.0,4.0,0.23,9.0,44.44,deepaknar,jaipur,2018.0,4.0,44.44444444444444,70.0,26,26
674,6.0,12.0,4.0,100.0,3.0,33.33,0.0,0.0,1.0,0.16,0.0,0.0,11.0,1.83,25.0,44.0,krush,telugu,2018.0,11.0,44.0,0.9998999999999999,61,27
456,14.0,57.0,7.0,70.16,124.0,36.29,1.0,0.0,45.0,3.21,2.0,0.0,12.0,0.71,23.0,52.17,monupat,patna,2018.0,10.0,43.47826086956522,44.9996,57,28
484,14.0,37.0,9.0,78.57,42.0,50.0,1.0,0.0,21.0,1.5,0.0,0.0,16.0,1.14,37.0,43.24,jaglanpat,patna,2018.0,16.0,43.24324324324324,21.0,25,29
360,22.0,49.0,6.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,49.0,2.04,105.0,46.66,kuldeepsin,hs,2018.0,45.0,42.857142857142854,0.0,109,30
137,24.0,45.0,7.0,92.59,27.0,18.51,0.0,0.0,5.0,0.2,3.0,1.0,40.0,1.54,87.0,45.97,ashishkumar,bb,2018.0,37.0,42.5287356321839,4.9977,70,31
159,22.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,51.0,2.13,111.0,45.94,joginder,dabang,2018.0,47.0,42.34234234234234,0.0,121,32
