,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
764,25.0,101.0,8.0,85.71,7.0,14.28,0.0,0.0,1.0,0.04,8.0,8.0,100.0,3.68,154.0,64.93,niteshk,UP,2018.0,92.0,59.74025974025974,0.9995999999999999,79,1
269,25.0,86.0,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,86.0,3.28,138.0,62.31,parvesh,gf,2018.0,82.0,59.42028985507246,0.0,105,2
690,23.0,83.0,7.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,83.0,3.47,130.0,63.84,fazel,mumba,2018.0,80.0,61.53846153846154,0.0,93,3
277,25.0,76.0,8.0,96.66,30.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,76.0,2.88,140.0,54.28,sunilkumargf,gf,2018.0,72.0,51.42857142857142,0.0,127,4
412,22.0,67.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,67.0,2.81,128.0,52.34,sandeepdhull,jaipur,2018.0,62.0,48.4375,0.0,107,5
119,24.0,63.0,6.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,63.0,2.58,122.0,51.63,mahenders,bb,2018.0,62.0,50.81967213114754,0.0,104,6
748,22.0,62.0,7.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,62.0,2.68,127.0,48.81,surinder,mumba,2018.0,59.0,46.45669291338583,0.0,100,7
195,22.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,59.0,2.54,125.0,47.2,ravinderpahal,dabang,2018.0,56.0,44.800000000000004,0.0,95,8
464,22.0,58.0,5.0,87.5,8.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,58.0,2.54,134.0,43.28,jaideeppat,patna,2018.0,56.0,41.7910447761194,0.0,114,9
622,19.0,67.0,8.0,79.31,29.0,27.58,0.0,0.0,8.0,0.42,5.0,2.0,59.0,2.84,121.0,48.76,manjeetchhil,tn,2018.0,54.0,44.62809917355372,7.9982,55,10
544,20.0,57.0,6.0,87.5,8.0,12.5,0.0,0.0,1.0,0.05,4.0,4.0,56.0,2.6,113.0,49.55,grishmaru,pune,2018.0,52.0,46.017699115044245,1.0,72,11
488,23.0,57.0,7.0,96.29,54.0,5.55,0.0,0.0,3.0,0.13,2.0,4.0,54.0,2.26,129.0,41.86,surjeetpune,pune,2018.0,52.0,40.310077519379846,2.997,66,12
678,17.0,60.0,9.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,60.0,3.0,95.0,63.15,bharad,telugu,2018.0,51.0,53.68421052631579,0.0,88,13
648,21.0,56.0,6.0,100.0,26.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,56.0,2.28,98.0,57.14,aboz,telugu,2018.0,48.0,48.97959183673469,0.0,99,14
159,22.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,51.0,2.13,111.0,45.94,joginder,dabang,2018.0,47.0,42.34234234234234,0.0,90,15
360,22.0,49.0,6.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,49.0,2.04,105.0,46.66,kuldeepsin,hs,2018.0,45.0,42.857142857142854,0.0,108,16
402,18.0,51.0,8.0,0.0,2.0,100.0,0.0,0.0,2.0,0.11,4.0,4.0,49.0,2.5,85.0,57.64,amitjaipur,jaipur,2018.0,45.0,52.94117647058824,2.0,67,17
