Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team
18,101,12,79.18,197,50.25,4,3,99,5.5,0,0,2,0.11,14,14.28,prapanjan,bw
,,,,,,,,,,,,,,,,,
20,205,19,82.07,318,64.46,6,10,205,10.25,0,0,0,0,7,0,maninder,bw
,,,,,,,,,,,,,,,,,
3,1,1,25,4,0,0,0,0,0,0,0,1,0.33,4,25,mohammadt,bw
,,,,,,,,,,,,,,,,,
1,3,3,50,2,150,0,0,3,3,0,0,0,0,0,0,rakeshn,bw
,,,,,,,,,,,,,,,,,
2,2,2,57.14,7,14.28,0,0,1,0.5,0,0,1,0.5,1,100,ravindrak,bw
,,,,,,,,,,,,,,,,,
12,34,8,82.19,73,45.2,2,0,33,2.75,0,0,1,0.08,4,25,sukeshh,bw
,,,,,,,,,,,,,,,,,
3,1,1,0,0,0,0,0,0,0,0,0,1,0.33,8,12.5,naveenn,bw
,,,,,,,,,,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,amitb,bw
,,,,,,,,,,,,,,,,,
19,56,7,80,5,0,0,0,0,0,5,6,56,2.68,100,56,Baldev,bw
,,,,,,,,,,,,,,,,,
18,31,4,0,0,0,0,0,0,0,1,0,31,1.66,80,38.75,jeevak,bw
,,,,,,,,,,,,,,,,,
8,7,3,0,0,0,0,0,0,0,0,0,7,0.87,31,22.58,viraj,bw
,,,,,,,,,,,,,,,,,
9,3,2,0,0,0,0,0,0,0,0,0,3,0.33,9,33.33,adarsh,bw
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dharmendra,bw
,,,,,,,,,,,,,,,,,
19,51,5,100,3,0,0,0,0,0,2,3,51,2.57,108,47.22,rinku,bw
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amitsanthosh,bw
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,avinash,bw
,,,,,,,,,,,,,,,,,
19,95,10,80.54,185,37.83,3,1,70,3.68,2,1,25,1.21,52,48.07,esmaeil,bw
,,,,,,,,,,,,,,,,,
6,4,2,0,0,0,0,0,0,0,0,0,4,0.66,21,19.04,,bw
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sourabh,bw
,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,sunild,bw
,,,,,,,,,,,,,,,,,
17,92,14,70.86,230,38.26,2,3,88,5.17,0,0,4,0.23,17,23.52,rohitkumar,bb
,,,,,,,,,,,,,,,,,
11,21,6,71.11,45,40,0,0,18,1.63,0,0,3,0.27,8,37.5,banty,bb
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lalmohar,bb
,,,,,,,,,,,,,,,,,
19,256,29,74.05,343,70.55,6,13,242,12.73,1,0,14,0.68,29,48.27,pawans,bb
,,,,,,,,,,,,,,,,,
15,39,7,69.56,92,39.13,0,0,36,2.4,1,0,3,0.13,11,27.27,sumits,bb
,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,vinodk,bb
,,,,,,,,,,,,,,,,,
13,17,5,75.55,45,11.11,0,0,5,0.38,2,1,12,0.76,31,38.7,mohitsehrawat,bb
,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rajulal,bb
,,,,,,,,,,,,,,,,,
9,5,3,100,4,0,0,0,0,0,1,0,5,0.44,16,31.25,vijaykumar,bb
,,,,,,,,,,,,,,,,,
16,46,7,100,8,0,0,0,0,0,7,3,46,2.43,90,51.11,mahenders,bb
,,,,,,,,,,,,,,,,,
2,1,1,0,0,0,0,0,0,0,0,0,1,0.5,4,25,aman,bb
,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,sandeep,bb
,,,,,,,,,,,,,,,,,
