,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
0,18,101,12.0,79.18,197.0,50.25,4.0,3.0,99.0,5.5,0.0,0.0,2.0,0.11,14.0,14.28,prapanjan,bw,2.0,14.285714285714285,98.9925,0,0
2,20,205,19.0,82.07,318.0,64.46,6.0,10.0,205.0,10.25,0.0,0.0,0.0,0.0,7.0,0.0,maninder,bw,0.0,0.0,204.9828,0,0
4,3,1,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,4.0,25.0,mohammadt,bw,1.0,25.0,0.0,0,0
6,1,3,3.0,50.0,2.0,150.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,rakeshn,bw,0.0,0.0,3.0,0,0
8,2,2,2.0,57.14,7.0,14.28,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,100.0,ravindrak,bw,1.0,100.0,0.9995999999999999,0,0
10,12,34,8.0,82.19,73.0,45.2,2.0,0.0,33.0,2.75,0.0,0.0,1.0,0.08,4.0,25.0,sukeshh,bw,1.0,25.0,32.996,0,0
12,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,8.0,12.5,naveenn,bw,1.0,12.5,0.0,0,0
14,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,amitb,bw,0.0,0.0,0.0,0,0
16,19,56,7.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,56.0,2.68,100.0,56.0,Baldev,bw,51.0,51.0,0.0,0,0
18,18,31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,1.66,80.0,38.75,jeevak,bw,30.0,37.5,0.0,0,0
20,8,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.87,31.0,22.58,viraj,bw,7.0,22.58064516129032,0.0,0,0
22,9,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.33,9.0,33.33,adarsh,bw,3.0,33.33333333333333,0.0,0,0
24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dharmendra,bw,0.0,0.0,0.0,0,0
26,19,51,5.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,51.0,2.57,108.0,47.22,rinku,bw,49.0,45.370370370370374,0.0,0,0
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amitsanthosh,bw,0.0,0.0,0.0,0,0
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,avinash,bw,0.0,0.0,0.0,0,0
32,19,95,10.0,80.54,185.0,37.83,3.0,1.0,70.0,3.68,2.0,1.0,25.0,1.21,52.0,48.07,esmaeil,bw,23.0,44.230769230769226,69.98549999999999,0,0
