,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,125,19,24,22,14,14,16,16
1,wins,58,10,15,8,5,2,10,8
2,draws,8,1,2,3,1,0,0,1
3,losses,59,8,7,11,8,12,6,7
4,Finishing Position,-,4,1,4,6,7,3,3
5,highest score,"

64
vs


","

47
vs


","

48
vs


","

64
vs


","

33
vs


","

36
vs


","

43
vs


","

47
vs


"
6,Biggest Winning Margin,"


40




64

vs


24



","


21




26

vs


47



","


16




44

vs


28



","


40




64

vs


24



","


2




29

vs


27



","


10




36

vs


26



","


19




40

vs


21



","


19




28

vs


47



"
7,Total Raids,5327,794,1005,943,605,603,730,647
8,Successful Raids,1810,309,431,336,157,158,194,225
9,unsuccessful raid,1245,213,211,195,143,148,163,172
10,empty raids,2272,272,363,412,305,297,373,250
11,success raid %,43%,49%,54%,42%,33%,35%,35%,45%
12,no. of super raids,63,8,20,5,4,9,10,7
13,raid touch points, 1811 , 295 , 428 , 294 , 147 , 181 , 222 , 244 
14,raid bonus points, 475, 98, 119, 99, 54, 28, 30, 47
15,total raid points,2286,393,547,393,201,209,252,291
16,total tackles,2740,438,550,480,287,291,341,353
17,successful tackles,1086,168,219,185,109,94,158,153
18,unsuccesful tackles,1654,270,331,295,178,197,183,200
19,successful tackle %, 43%, 44%, 42%, 42%, 43%, 34%, 48%, 46%
20,no. of super tackles, 93, 25, 12, 17, 15, 7, 7, 10
21,all outs inflicted, 152, 21, 37, 28, 9, 12, 25, 20
22,total all out points, 304, 42, 74, 56, 18, 24, 50, 40
23,total defence points, 1172, 191, 230, 200, 124, 100, 164, 163
