,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,124,19,23,24,14,16,14,14
1,wins,55,12,12,11,3,9,4,4
2,draws,15,3,2,6,2,0,1,1
3,losses,54,4,9,7,9,7,9,9
4,Finishing Position,-,1,2,1,8,4,6,7
5,highest score,"

48
vs


","

48
vs


","

44
vs


","

44
vs


","

34
vs


","

37
vs


","

39
vs


","

42
vs


"
6,Biggest Winning Margin,"


31




17

vs


48



","


31




17

vs


48



","


16




39

vs


23



","


20




40

vs


20



","


8




31

vs


23



","


17




34

vs


17



","


3




17

vs


20



","


5




40

vs


35



"
7,Total Raids,5269,782,963,1079,602,702,595,546
8,Successful Raids,1764,318,340,379,167,213,134,213
9,unsuccessful raid,1143,153,201,223,125,144,151,146
10,empty raids,2362,311,422,477,310,345,310,187
11,success raid %,42%,51%,45%,42%,34%,36%,31%,52%
12,no. of super raids,70,15,16,11,4,4,9,11
13,raid touch points, 1725 , 322 , 341 , 333 , 154 , 204 , 151 , 220 
14,raid bonus points, 483, 76, 95, 122, 48, 46, 33, 63
15,total raid points,2208,398,436,455,202,250,184,283
16,total tackles,2812,449,508,521,318,329,306,381
17,successful tackles,1017,174,186,181,117,137,116,106
18,unsuccesful tackles,1795,275,322,340,201,192,190,275
19,successful tackle %, 39%, 41%, 39%, 37%, 39%, 46%, 44%, 32%
20,no. of super tackles, 98, 12, 16, 12, 8, 13, 21, 16
21,all outs inflicted, 130, 31, 23, 27, 11, 17, 10, 11
22,total all out points, 260, 62, 46, 54, 22, 34, 20, 22
23,total defence points, 1110, 184, 200, 193, 125, 150, 136, 122
