,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,122,20,24,22,14,14,14,14
1,wins,46,15,12,5,4,1,4,5
2,draws,9,2,2,1,1,1,1,1
3,losses,67,3,10,16,9,12,9,8
4,Finishing Position,-,1,3,6,7,8,6,6
5,highest score,"

60
vs


","

60
vs


","

48
vs


","

38
vs


","

41
vs


","

36
vs


","

45
vs


","

46
vs


"
6,Biggest Winning Margin,"


23




45

vs


22



","


20




41

vs


21



","


13




48

vs


35



","


8




38

vs


30



","


21




41

vs


20



","


14




21

vs


35



","


19




45

vs


26



","


23




45

vs


22



"
7,Total Raids,5159,812,997,973,619,614,585,559
8,Successful Raids,1783,361,401,283,162,171,159,246
9,unsuccessful raid,1171,161,224,214,120,162,151,139
10,empty raids,2205,290,372,476,337,281,275,174
11,success raid %,43%,54%,48%,35%,37%,38%,37%,51%
12,no. of super raids,62,8,13,6,11,5,14,5
13,raid touch points, 1698 , 324 , 367 , 260 , 170 , 175 , 174 , 228 
14,raid bonus points, 527, 113, 116, 84, 56, 58, 43, 57
15,total raid points,2225,437,483,344,226,233,217,285
16,total tackles,2891,480,559,497,306,346,333,370
17,successful tackles,998,181,198,159,116,98,122,124
18,unsuccesful tackles,1893,299,361,338,190,248,211,246
19,successful tackle %, 38%, 39%, 39%, 34%, 44%, 32%, 41%, 36%
20,no. of super tackles, 96, 8, 19, 12, 20, 13, 14, 10
21,all outs inflicted, 141, 34, 34, 18, 15, 9, 13, 18
22,total all out points, 282, 68, 68, 36, 30, 18, 26, 36
23,total defence points, 1087, 187, 216, 169, 134, 111, 136, 134
