,seasons,Overall,Season 7,Season 6,Season 5
0,Matches Played,64,19,22,23
1,wins,31,12,6,13
2,draws,7,1,2,4
3,losses,26,6,14,6
4,Finishing Position,-,3,6,3
5,highest score,"

47
vs


","

47
vs


","

43
vs


","

42
vs


"
6,Biggest Winning Margin,"


22




25

vs


47



","


22




25

vs


47



","


11




32

vs


43



","


18




24

vs


42



"
7,Total Raids,2770,799,941,1030
8,Successful Raids,978,290,361,327
9,unsuccessful raid,610,174,230,206
10,empty raids,1182,335,350,497
11,success raid %,44%,47%,48%,39%
12,no. of super raids,38,14,12,12
13,raid touch points, 936 , 306 , 306 , 324 
14,raid bonus points, 292, 71, 141, 80
15,total raid points,1228,377,447,404
16,total tackles,1581,475,562,544
17,successful tackles,567,181,180,206
18,unsuccesful tackles,1014,294,382,338
19,successful tackle %, 39%, 41%, 34%, 42%
20,no. of super tackles, 50, 14, 15, 21
21,all outs inflicted, 70, 27, 16, 27
22,total all out points, 140, 54, 32, 54
23,total defence points, 615, 195, 193, 227
