,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,124,20,22,22,16,14,14,16
1,wins,53,8,6,8,9,4,6,12
2,draws,11,2,3,1,1,2,1,1
3,losses,60,10,13,13,6,8,7,3
4,Finishing Position,-,7,5,5,3,6,5,1
5,highest score,"

51
vs


","

44
vs


","

45
vs


","

39
vs


","

51
vs


","

39
vs


","

51
vs


","

50
vs


"
6,Biggest Winning Margin,"


30




21

vs


51



","


19




23

vs


42



","


17




45

vs


28



","


11




36

vs


25



","


25




26

vs


51



","


9




30

vs


21



","


30




21

vs


51



","


27




23

vs


50



"
7,Total Raids,5226,836,949,962,666,593,599,621
8,Successful Raids,1688,261,334,288,203,149,183,270
9,unsuccessful raid,1229,205,220,236,139,152,152,125
10,empty raids,2309,370,395,438,324,292,264,226
11,success raid %,41%,40%,44%,37%,41%,33%,39%,55%
12,no. of super raids,61,7,13,13,6,8,5,9
13,raid touch points, 1704 , 246 , 313 , 297 , 221 , 147 , 189 , 291 
14,raid bonus points, 440, 91, 102, 56, 49, 46, 43, 53
15,total raid points,2144,337,415,353,270,193,232,344
16,total tackles,2784,483,551,459,319,274,298,400
17,successful tackles,1055,189,202,162,119,101,124,158
18,unsuccesful tackles,1729,294,349,297,200,173,174,242
19,successful tackle %, 42%, 45%, 41%, 37%, 42%, 43%, 48%, 42%
20,no. of super tackles, 130, 32, 25, 10, 17, 16, 18, 12
21,all outs inflicted, 137, 19, 22, 22, 17, 11, 17, 29
22,total all out points, 274, 38, 44, 44, 34, 22, 34, 58
23,total defence points, 1179, 219, 225, 171, 135, 117, 142, 170
