,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,131,19,22,26,16,16,16,16
1,wins,68,6,9,14,12,12,7,8
2,draws,13,1,2,5,0,2,1,2
3,losses,50,12,11,7,4,2,8,6
4,Finishing Position,-,9,4,2,1,2,4,4
5,highest score,"

69
vs


","

55
vs


","

53
vs


","

69
vs


","

38
vs


","

67
vs


","

39
vs


","

52
vs


"
6,Biggest Winning Margin,"


39




69

vs


30



","


26




25

vs


51



","


20




50

vs


30



","


39




69

vs


30



","


15




23

vs


38



","


33




34

vs


67



","


17




21

vs


38



","


22




30

vs


52



"
7,Total Raids,5643,802,934,1173,692,703,701,638
8,Successful Raids,2066,291,406,487,206,241,182,253
9,unsuccessful raid,1222,184,226,238,152,129,159,134
10,empty raids,2355,327,302,448,334,333,360,251
11,success raid %,47%,46%,53%,54%,38%,46%,33%,50%
12,no. of super raids,90,13,11,26,7,16,4,13
13,raid touch points, 2115 , 298 , 376 , 508 , 224 , 272 , 185 , 252 
14,raid bonus points, 518, 70, 120, 129, 40, 52, 43, 64
15,total raid points,2633,368,496,637,264,324,228,316
16,total tackles,3121,448,555,625,332,405,376,380
17,successful tackles,1176,168,186,226,145,175,152,124
18,unsuccesful tackles,1945,280,369,399,187,230,224,256
19,successful tackle %, 42%, 43%, 36%, 40%, 52%, 45%, 44%, 37%
20,no. of super tackles, 131, 23, 16, 27, 27, 7, 13, 18
21,all outs inflicted, 193, 28, 30, 55, 19, 30, 13, 18
22,total all out points, 386, 56, 60, 110, 38, 60, 26, 36
23,total defence points, 1303, 191, 201, 252, 171, 182, 164, 142
