,seasons,Overall,Season 7,Season 6,Season 5,Season 4,Season 3,Season 2,Season 1
0,Matches Played,126,20,22,24,16,16,14,14
1,wins,49,6,8,16,7,8,2,2
2,draws,11,3,2,0,2,3,1,0
3,losses,66,11,12,8,7,5,11,12
4,Finishing Position,-,9,4,2,4,3,8,8
5,highest score,"

47
vs


","

43
vs


","

45
vs


","

47
vs


","

41
vs


","

44
vs


","

37
vs


","

40
vs


"
6,Biggest Winning Margin,"


24




43

vs


19



","


21




20

vs


41



","


18




27

vs


45



","


23




38

vs


15



","


22




41

vs


19



","


24




43

vs


19



","


5




33

vs


28



","


10




40

vs


30



"
7,Total Raids,5379,831,940,1042,716,698,600,552
8,Successful Raids,1687,290,286,304,230,203,170,204
9,unsuccessful raid,1248,214,228,223,151,133,151,148
10,empty raids,2444,327,426,515,335,362,279,200
11,success raid %,39%,43%,37%,36%,40%,36%,37%,49%
12,no. of super raids,63,6,7,12,10,9,8,11
13,raid touch points, 1678 , 268 , 235 , 321 , 246 , 215 , 186 , 207 
14,raid bonus points, 438, 90, 111, 58, 44, 36, 37, 62
15,total raid points,2116,358,346,379,290,251,223,269
16,total tackles,2989,549,502,547,345,371,307,368
17,successful tackles,1159,207,189,252,140,174,104,93
18,unsuccesful tackles,1830,342,313,295,205,197,203,275
19,successful tackle %, 43%, 42%, 44%, 50%, 42%, 50%, 37%, 29%
20,no. of super tackles, 125, 25, 34, 21, 7, 13, 11, 14
21,all outs inflicted, 134, 18, 14, 32, 21, 25, 12, 12
22,total all out points, 268, 36, 28, 64, 42, 50, 24, 24
23,total defence points, 1276, 232, 219, 271, 146, 187, 114, 107
