,seasons,Overall,Season 7,Season 6,Season 5
0,Matches Played,64,20,22,22
1,wins,14,3,5,6
2,draws,9,3,4,2
3,losses,41,14,13,14
4,Finishing Position,-,12,6,6
5,highest score,"

46
vs


","

39
vs


","

46
vs


","

40
vs


"
6,Biggest Winning Margin,"


22




24

vs


46



","


13




26

vs


39



","


22




24

vs


46



","


5




24

vs


29



"
7,Total Raids,2781,834,925,1022
8,Successful Raids,970,275,344,351
9,unsuccessful raid,649,220,222,207
10,empty raids,1162,339,359,464
11,success raid %,42%,41%,45%,40%
12,no. of super raids,16,4,7,5
13,raid touch points, 888 , 265 , 314 , 309 
14,raid bonus points, 285, 79, 105, 101
15,total raid points,1173,344,419,410
16,total tackles,1471,456,498,517
17,successful tackles,518,160,174,184
18,unsuccesful tackles,953,296,324,333
19,successful tackle %, 38%, 38%, 38%, 39%
20,no. of super tackles, 45, 13, 15, 17
21,all outs inflicted, 53, 14, 20, 19
22,total all out points, 106, 28, 40, 38
23,total defence points, 561, 171, 189, 201
