,seasons,Overall,Season 7,Season 6,Season 5
0,Matches Played,66,18,25,23
1,wins,28,10,10,8
2,draws,10,2,4,4
3,losses,28,6,11,11
4,Finishing Position,-,4,3,3
5,highest score,"

53
vs


","

42
vs


","

47
vs


","

53
vs


"
6,Biggest Winning Margin,"


29




16

vs


45



","


20




42

vs


22



","


16




31

vs


47



","


29




16

vs


45



"
7,Total Raids,2827,757,1068,1002
8,Successful Raids,938,223,357,358
9,unsuccessful raid,654,178,255,221
10,empty raids,1235,356,456,423
11,success raid %,42%,38%,42%,46%
12,no. of super raids,38,5,10,23
13,raid touch points, 884 , 219 , 318 , 347 
14,raid bonus points, 315, 70, 131, 114
15,total raid points,1199,289,449,461
16,total tackles,1560,415,594,551
17,successful tackles,600,177,240,183
18,unsuccesful tackles,960,238,354,368
19,successful tackle %, 42%, 46%, 45%, 36%
20,no. of super tackles, 62, 16, 27, 19
21,all outs inflicted, 70, 21, 26, 23
22,total all out points, 140, 42, 52, 46
23,total defence points, 658, 192, 265, 201
